Frequenz;Wellenlänge;Klasse E (PEP);Klasse A (PEP)
135,7–137,8 kHz;2,2 km;–;1 W ERP
472–479 kHz;630 m;–;1 W ERP
1810–1850 kHz;160 m;100 W;750 W
1850–1890 kHz;160 m;75 W;75 W
1890–2000 kHz;160 m;10 W;10 W
3,5–3,8 MHz;80 m;100 W;750 W
5,3515–5,3665 MHz;60 m;–;15 W EIRP
7–7,1 MHz;40 m;–;750 W
7,1–7,2 MHz;40 m;–;250 W
10,1–10,15 MHz;30 m;–;150 W
14–14,35 MHz;20 m;–;750 W
18,068–18,168 MHz;17 m;–;750 W
21–21,45 MHz;15 m;100 W;750 W
24,89–24,99 MHz;12 m;–;750 W
28–29,7 MHz;10 m;100 W;750 W
50–50,4 MHz;6 m;100 W;750 W
50,4–52 MHz;6 m;25 W;25 W
70,15–70,21 MHz;4 m;–;25 W ERP
144–146 MHz;2 m;75 W;750 W
430–440 MHz;70 cm;75 W;750 W
1240–1300 MHz;23 cm;–;750 W
2320–2450 MHz;13 cm;5 W;75 W
3,4–3,475 GHz;9 cm;–;75 W
5,65–5,85 GHz;6 cm;5 W;75 W
10–10,5 GHz;3 cm;5 W;75 W
24–24,05 GHz;1,2 cm;–;75 W
24,05–24,25 GHz;1,2 cm;–;75 W
47–47,2 GHz;6 mm;–;75 W
76–77,5 GHz;4 mm;–;75 W
77,5–78 GHz;4 mm;–;75 W
78–81,5 GHz;4 mm;–;75 W
122,25–123 GHz;2,5 mm;–;75 W
134–136 GHz;2 mm;–;75 W
136–141 GHz;2 mm;–;75 W
241–248 GHz;1,2 mm;–;75 W
248–250 GHz;1,2 mm;–;75 W
