Präfix;Land
AA–AL;Vereinigte Staaten von Amerika (USA)
AM–AO;Spanien
AP–AS;Pakistan
AT–AW;Indien
AX;Australien
AY–AZ;Argentinien
A2;Botswana
A3;Tonga
A4;Oman
A5;Bhutan
A6;Vereinigte Arabische Emirate
A7;Katar
A8;Liberia
A9;Bahrain
B;Volksrepublik China
B (BM–BO, BP, BQ, BU–BX);Republik China (Taiwan)
CA–CE;Chile
CF–CK;Kanada
CL–CM;Kuba
CN;Marokko
CO;Kuba
CP;Bolivien
CQ–CU;Portugal
CV–CX;Uruguay
CY–CZ;Kanada
C2;Nauru
C3;Andorra
C4;Zypern
C5;Gambia
C6;Bahamas
C7;Weltorganisation für Meteorologie
C8–C9;Mosambik
DA–DR;Deutschland
DS–DT;Südkorea
DU–DZ;Philippinen
D0–D1;Volksrepublik Donezk
D2–D3;Angola
D4;Kap Verde
D5;Liberia
D6;Komoren
D7–D9;Südkorea
EA–EH;Spanien
EI–EJ;Irland
EK;Armenien
EL;Liberia
EM–EO;Ukraine
EP–EQ;Iran
ER;Moldawien
ES;Estland
ET;Äthiopien
EU–EW;Belarus
EX;Kirgisistan
EY;Tadschikistan
EZ;Turkmenistan
E2;Thailand
E3;Eritrea
E4;Palästinensische Autonomiegebiete
E5;Cookinseln
E7;Bosnien und Herzegowina
F;Frankreich (und seine Übersee-Départements/Französische Überseegebiete)
G;Vereinigtes Königreich (mit britischen Überseegebieten/Kronbesitzungen der britischen Krone)
HA;Ungarn
HB;Schweiz ohne HB0 und HBL
HB0, HBL;Liechtenstein (benutzt Präfix der Schweiz HB gefolgt von 0 und L)
HC–HD;Ecuador
HE;Schweiz
HF;Polen
HG;Ungarn
HH;Haiti
HI;Dominikanische Republik
HJ–HK;Kolumbien
HL;Südkorea
HM;Nordkorea
HN;Irak
HO–HP;Panama
HQ–HR;Honduras
HS;Thailand
HT;Nicaragua
HU;El Salvador
HV;Vatikanstadt
HW–HY;Frankreich (und seine Übersee-Départements/Französische Überseegebiete)
HZ;Saudi–Arabien
H2;Republik Zypern
H3;Panama
H4;Salomonen
H6–H7;Nicaragua
H8–H9;Panama (H9: in den Anfängen vor 1930 Schweiz)
I;Italien
JA–JS;Japan
JT–JV;Mongolei
JW–JX;Norwegen
JY;Jordanien
JZ;Indonesien
J2;Dschibuti
J3;Grenada
J4;Griechenland
J5;Guinea–Bissau
J6;St. Lucia
J7;Dominica
J8;St. Vincent und die Grenadinen
K;Vereinigte Staaten von Amerika (USA)
LA–LN;Norwegen
LO–LW;Argentinien
LX;Luxemburg
LY;Litauen
LZ;Bulgarien
L2–L9;Argentinien
M;Vereinigtes Königreich (mit britischen Überseegebieten/Kronbesitzungen der britischen Krone)
N;Vereinigte Staaten von Amerika (USA)
OA–OC;Peru
OD;Libanon
OE;Österreich
OF–OJ;Finnland
OK–OL;Tschechien
OM;Slowakei
ON–OT;Belgien
OU–OZ;Dänemark
PA–PI;Niederlande
PJ;Niederländische Antillen
PK–PO;Indonesien
PP–PY;Brasilien
PZ;Suriname
P2;Papua–Neuguinea
P3;Republik Zypern
P4;Aruba
P5–P9;Nordkorea
R;Russland
SA–SM;Schweden
SN–SR;Polen
SSA–SSM;Ägypten
SSN–STZ;Sudan
SU;Ägypten
SV–SZ;Griechenland
